2023-07-28 09:43:46,359 | __main__ | INFO | PPW = 3.0
2023-07-28 09:43:46,359 | __main__ | INFO | CFL = 0.3
2023-07-28 09:43:46,375 | __main__ | INFO | source_amp.dim = [51590. 51590. 51590. 51590.]
2023-07-28 09:43:46,375 | __main__ | INFO | source_phase.dim = [0.         5.56760031 4.85201532 4.13643033]
2023-07-28 09:51:47,648 | __main__ | INFO | simulation_options
2023-07-28 09:51:47,648 | __main__ | INFO | execution_options
2023-07-28 09:51:47,660 | __main__ | INFO | kspaceFirstOrder3DG
2023-07-28 10:11:11,456 | __main__ | INFO | PPW = 3.0
2023-07-28 10:11:11,456 | __main__ | INFO | CFL = 0.3
2023-07-28 10:11:11,456 | __main__ | INFO | source_amp.dim = [51590. 51590. 51590. 51590.]
2023-07-28 10:11:11,456 | __main__ | INFO | source_phase.dim = [0.         5.56760031 4.85201532 4.13643033]
2023-07-28 10:19:58,913 | __main__ | INFO | simulation_options
2023-07-28 10:19:58,913 | __main__ | INFO | execution_options
2023-07-28 10:19:58,913 | __main__ | INFO | kspaceFirstOrder3DG
2023-07-28 10:24:35,973 | __main__ | INFO | PPW = 3.0
2023-07-28 10:24:35,973 | __main__ | INFO | CFL = 0.3
2023-07-28 10:24:35,973 | __main__ | INFO | source_amp.dim = [51590. 51590. 51590. 51590.]
2023-07-28 10:24:35,973 | __main__ | INFO | source_phase.dim = [0.         5.56760031 4.85201532 4.13643033]
2023-07-28 10:32:36,686 | __main__ | INFO | simulation_options
2023-07-28 10:32:36,686 | __main__ | INFO | execution_options
2023-07-28 10:32:36,686 | __main__ | INFO | kspaceFirstOrder3DG
2023-07-28 11:54:43,166 | __main__ | INFO | PPW = 3.0
2023-07-28 11:54:43,174 | __main__ | INFO | CFL = 0.3
2023-07-28 11:54:43,174 | __main__ | INFO | source_amp.dim = [51590. 51590. 51590. 51590.]
2023-07-28 11:54:43,174 | __main__ | INFO | source_phase.dim = [0.         5.56760031 4.85201532 4.13643033]
2023-07-28 12:02:12,387 | __main__ | INFO | simulation_options
2023-07-28 12:02:12,387 | __main__ | INFO | execution_options
2023-07-28 12:02:12,387 | __main__ | INFO | kspaceFirstOrder3DG
2023-07-28 12:04:25,493 | __main__ | INFO | PPW = 3.0
2023-07-28 12:04:25,493 | __main__ | INFO | CFL = 0.3
2023-07-28 12:04:25,493 | __main__ | INFO | source_amp.dim = [51590. 51590. 51590. 51590.]
2023-07-28 12:04:25,493 | __main__ | INFO | source_phase.dim = [0.         5.56760031 4.85201532 4.13643033]
2023-07-28 12:12:49,939 | __main__ | INFO | simulation_options
